,GAME_ID,TEAM_CITY,PLAYER_NAME,MIN,START_POSITION
0042000306,Milwaukee,P.J. Tucker,32:27,F
0042000306,Milwaukee,Bobby Portis,32:25,F
0042000306,Milwaukee,Brook Lopez,38:38,C
0042000306,Milwaukee,Khris Middleton,40:56,G
0042000306,Milwaukee,Jrue Holiday,42:12,G
0042000306,Milwaukee,Bryn Forbes,10:04,
0042000306,Milwaukee,Thanasis Antetokounmpo,0:51,
0042000306,Milwaukee,Pat Connaughton,30:05,
0042000306,Milwaukee,Jeff Teague,12:23,
0042000306,Milwaukee,Elijah Bryant,,
0042000306,Milwaukee,Mamadi Diakite,,
0042000306,Milwaukee,Justin Jackson,,
0042000306,Milwaukee,Sam Merrill,,
0042000306,Milwaukee,Jordan Nwora,,
0042000306,Milwaukee,Axel Toupane,,
0042000306,Atlanta,Kevin Huerter,29:24,F
0042000306,Atlanta,John Collins,31:06,F
0042000306,Atlanta,Clint Capela,29:07,C
0042000306,Atlanta,Bogdan Bogdanovic,36:32,G
0042000306,Atlanta,Trae Young,35:28,G
0042000306,Atlanta,Cam Reddish,28:46,
0042000306,Atlanta,Danilo Gallinari,23:12,
0042000306,Atlanta,Onyeka Okongwu,11:53,
0042000306,Atlanta,Lou Williams,11:53,
0042000306,Atlanta,Solomon Hill,0:03,
0042000306,Atlanta,Nathan Knight,0:39,
0042000306,Atlanta,Kris Dunn,0:39,
0042000306,Atlanta,Skylar Mays,0:39,
0042000306,Atlanta,Bruno Fernando,0:39,
0042000306,Atlanta,Tony Snell,,
